City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.68,77,100,6.19,TF,1721525749
1,sitka,57.0531,-135.33,15.94,77,100,2.57,US,1721525750
2,tuy hoa,13.0833,109.3,29.85,65,97,8.88,VN,1721525751
3,kruisfontein,-34.0033,24.7314,7.71,91,41,3.52,ZA,1721525752
4,qaqortoq,60.7167,-46.0333,4.8,91,92,1.54,GL,1721525754
5,port augusta,-32.5,137.7667,15.41,44,1,5.91,AU,1721525755
6,waitangi,-43.9535,-176.5597,11.57,99,100,2.24,NZ,1721525756
7,shenjiamen,29.9576,122.298,27.99,85,100,8.68,CN,1721525757
8,blackmans bay,-43.0167,147.3167,9.07,78,95,0.89,AU,1721525758
9,hamilton,39.1834,-84.5333,23.84,65,97,2.08,US,1721525759
10,kantilo,20.35,85.1833,27.49,91,100,1.71,IN,1721525760
11,touros,-5.1989,-35.4608,22.04,90,16,4.85,BR,1721525762
12,camacupa,-12.0167,17.4833,11.26,24,0,1.95,AO,1721525763
13,olonkinbyen,70.9221,-8.7187,4.23,96,100,4.42,SJ,1721525764
14,naze,28.3667,129.4833,30.51,67,3,2.33,JP,1721525765
15,flying fish cove,-10.4217,105.6791,25.82,83,100,5.14,CX,1721525766
16,ribeira grande,38.5167,-28.7,23.76,91,18,0.89,PT,1721525767
17,bontang,0.1333,117.5,28.34,73,88,3.87,ID,1721525769
18,ilulissat,69.2167,-51.1,10.01,71,85,1.54,GL,1721525770
19,grytviken,-54.2811,-36.5092,0.59,84,60,3.38,GS,1721525771
20,thompson,55.7435,-97.8558,23.09,40,75,1.54,CA,1721525772
21,iqaluit,63.7506,-68.5145,8.85,71,20,2.06,CA,1721525773
22,yellowknife,62.456,-114.3525,20.31,64,100,3.09,CA,1721525774
23,edinburgh of the seven seas,-37.0676,-12.3116,13.53,82,100,11.67,SH,1721525775
24,bereznehuvate,47.3078,32.8499,22.45,45,97,3.42,UA,1721525777
25,melekeok village,7.4957,134.6367,24.31,94,100,2.57,PW,1721525778
26,kavieng,-2.5744,150.7967,29.07,75,55,6.37,PG,1721525779
27,bel ombre,-4.6167,55.4167,25.91,83,40,5.14,SC,1721525780
28,castillos,-34.1667,-53.8333,12.16,94,100,2.63,UY,1721525781
29,port mathurin,-19.6833,63.4167,22.41,74,18,5.77,MU,1721525782
30,bethel,41.3712,-73.414,24.45,82,100,1.28,US,1721525784
31,serdar,38.9764,56.2757,30.32,20,4,3.36,TM,1721525785
32,anadyr,64.75,177.4833,14.28,62,40,4.0,RU,1721525786
33,maffra,-37.9667,146.9833,14.72,51,13,3.72,AU,1721525787
34,north bend,43.4065,-124.2243,18.84,94,100,6.17,US,1721525788
35,oranjemund,-28.55,16.4333,11.86,84,100,5.37,NA,1721525789
36,extrema,-22.8547,-46.3183,11.32,79,8,1.69,BR,1721525790
37,college,64.8569,-147.8028,25.25,35,20,2.06,US,1721525792
38,nova xavantina,-14.6667,-52.35,19.87,40,2,1.07,BR,1721525793
39,isafjordur,66.0755,-23.124,5.1,78,100,5.03,IS,1721525794
40,belozersk,60.0326,37.7957,16.2,96,100,2.97,RU,1721525795
41,cockburn town,21.4612,-71.1419,28.25,85,100,7.53,TC,1721525578
42,peterhead,57.5058,-1.7981,13.22,97,100,8.83,GB,1721525799
43,west island,-12.1568,96.8225,27.99,78,75,8.75,CC,1721525800
